loop_count,commanded_current_a,measured_supply_current_a,effective_sensor_current_a,adc_voltage_400a_v
1,0.0,0.006,0.006,0.0
1,0.25,0.006,0.006,0.0
1,0.5,0.006,0.006,0.0
1,0.75,0.0062,0.0062,0.0
1,1.0,0.006,0.006,0.0
1,1.25,0.0054,0.0054,0.0
1,1.5,0.006,0.006,0.0
1,1.75,0.006,0.006,0.0
1,2.0,0.006,0.006,0.0
1,2.25,0.00635,0.00635,0.0
1,2.5,0.006,0.006,0.0
1,2.75,0.006,0.006,0.0
1,3.0,0.006500000000000001,0.006500000000000001,0.0
1,3.25,0.006,0.006,0.0
1,3.5,0.006,0.006,0.0
1,3.75,0.0258,0.0258,0.0
1,4.0,0.006,0.006,0.0
1,4.25,0.006,0.006,0.0
1,4.5,0.006,0.006,0.0
1,4.75,0.0105,0.0105,0.0
1,5.0,0.006,0.006,0.0
